TIPO,ID,NOME,DEPENDENCIA
SUB,10507078,"CAMPOS QUÂNTICOS E SÓLIDOS, HÉLIO, LÍQUIDO, SÓLIDO",10500006
SUB,10507086,SUPERFÍCIES E INTERFACES; PELÍCULAS E FILAMENTOS,10500006
SUB,10507094,ESTADOS ELETRÔNICOS,10500006
SUB,10507108,TRANSP.ELETR.E PROPR.ELET.DE SUPERFÍCIES; INTERF.E PELÍCULAS,10500006
SUB,10507116,ESTRUT.ELETR.E PROPR.ELET.DE SUPERFÍCIES; INTERF.E PELÍCULAS,10500006
SUB,10507124,SUPERCONDUTIVIDADE,10500006
SUB,10507132,MATERIAIS MAGNÉTICOS E PROPRIEDADES MAGNÉTICAS,10500006
SUB,10507140,RESS.MAGN. REL.MAT.COND.; EFEIT.MOSBAUER; CORR.ANG.PERTUBADA,10500006
SUB,10507159,MATERIAIS DIELÉTRICOS E PROPRIEDADES DIELÉTRICAS,10500006
SUB,10507167,PROP.OTIC.E ESPEC.MATR.COND.; OUTRAS INTER.MAT.COM RAD.PART.,10500006
SUB,10507175,EMISSÃO ELETRON.E IÔNICA POR LIQ.E SÓLIDOS; FENOM.DE IMPACTO,10500006
AREA,10600000,QUÍMICA,10000003
SUB,10601007,QUÍMICA ORGÂNICA,10600000
SUB,10601015,"ESTRUTURA, CONFORMAÇÃO E ESTEREOQUÍMICA",10600000
SUB,10601023,SÍNTESE ORGÂNICA,10600000
SUB,10601031,FÍSICO-QUÍMICA ORGÂNICA,10600000
SUB,10601040,FOTOQUÍMICA ORGÂNICA,10600000
SUB,10601058,QUÍMICA DOS PRODUTOS NATURAIS,10600000
SUB,10601066,"EVOLUÇÃO, SISTEMÁTICA E ECOLOGIA QUÍMICA",10600000
SUB,10601074,POLÍMEROS E COLÓIDES,10600000
SUB,10602003,QUÍMICA INORGÂNICA,10600000
SUB,10602011,CAMPOS DE COORDENAÇÃO,10600000
SUB,10602020,NÃO-METAIS E SEUS COMPOSTOS,10600000
SUB,10602038,COMPOSTOS ORGANO-METÁLICOS,10600000
SUB,10602046,DETERMINAÇÃO DE ESTRUTURAS DE COMPOSTOS INORGÂNICOS,10600000
SUB,10602054,FOTO-QUÍMICA INORGÂNICA,10600000
SUB,10602062,FÍSICO QUÍMICA INORGÂNICA,10600000
SUB,10602070,QUÍMICA BIO-INORGÂNICA,10600000
SUB,10603000,FÍSICO-QUÍMICA,10600000
SUB,10603018,CINÉTICA QUÍMICA E CATALISE,10600000
SUB,10603026,ELETROQUÍMICA,10600000
SUB,10603034,ESPECTROSCOPIA,10600000
SUB,10603042,QUÍMICA DE INTERFACES,10600000
SUB,10603050,QUÍMICA DO ESTADO CONDENSADO,10600000
SUB,10603069,QUÍMICA NÚCLEAR E RADIOQUÍMICA,10600000
SUB,10603077,QUÍMICA TEÓRICA,10600000
SUB,10603085,TERMODINÂMICA QUÍMICA,10600000
SUB,10604006,QUÍMICA ANALÍTICA,10600000
SUB,10604014,SEPARAÇÃO,10600000
SUB,10604022,MÉTODOS ÓTICOS DE ANÁLISE,10600000
SUB,10604030,ELETROANALÍTICA,10600000
SUB,10604049,GRAVIMETRIA,10600000
SUB,10604057,TITIMETRIA,10600000
SUB,10604065,INSTRUMENTAÇÃO ANALÍTICA,10600000
SUB,10604073,ANÁLISE DE TRAÇOS E QUÍMICA AMBIENTAL,10600000
AREA,10700005,GEOCIÊNCIAS,10000003
SUB,10701001,GEOLOGIA,10700005
SUB,10701010,MINERALOGIA,10700005
SUB,10701028,PETROLOGIA,10700005
SUB,10701036,GEOQUÍMICA,10700005
SUB,10701044,GEOLOGIA REGIONAL,10700005
SUB,10701052,GEOTECTÔNICA,10700005
SUB,10701060,GEOCRONOLOGIA,10700005
SUB,10701079,CARTOGRAFIA GEOLÓGICA,10700005
SUB,10701087,METALOGENIA,10700005
SUB,10701095,HIDROGEOLOGIA,10700005
SUB,10701109,PROSPECÇÃO MINERAL,10700005
SUB,10701117,SEDIMENTOLOGIA,10700005
SUB,10701125,PALEONTOLOGIA ESTRATIGRÁFICA,10700005
SUB,10701133,ESTRATIGRAFIA,10700005
SUB,10701141,GEOLOGIA AMBIENTAL,10700005
SUB,10702008,GEOFÍSICA,10700005
SUB,10702016,GEOMAGNETISMO,10700005
SUB,10702024,SISMOLOGIA,10700005
SUB,10702032,GEOTERMIA E FLUXO TÉRMICO,10700005
SUB,10702040,PROPRIEDADES FÍSICAS DAS ROCHAS,10700005
SUB,10702059,GEOFÍSICA NUCLEAR,10700005
SUB,10702067,SENSORIAMENTO REMOTO,10700005
SUB,10702075,AERONOMIA,10700005
SUB,10702083,DESENVOLVIMENTO DE INSTRUMENTAÇÃO GEOFÍSICA,10700005
SUB,10702091,GEOFÍSICA APLICADA,10700005
SUB,10702105,GRAVIMETRIA,10700005
SUB,10703004,METEOROLOGIA,10700005
SUB,10703012,METEOROLOGIA DINÂMICA,10700005
SUB,10703020,METEOROLOGIA SINÓTICA,10700005
SUB,10703039,METEOROLOGIA FÍSICA,10700005
SUB,10703047,QUÍMICA DA ATMOSFERA,10700005
SUB,10703055,INSTRUMENTAÇÃO METEOROLÓGICA,10700005
SUB,10703063,CLIMATOLOGIA,10700005
SUB,10703071,MICROMETEOROLOGIA,10700005
SUB,10703080,SENSORIAMENTO REMOTO DA ATMOSFERA,10700005
SUB,10703098,METEOROLOGIA APLICADA,10700005
SUB,10704000,GEODÉSIA,10700005
SUB,10704019,GEODÉSIA FÍSICA,10700005
SUB,10704027,GEODÉSIA GEOMÉTRICA,10700005
SUB,10704035,GEODÉSIA CELESTE,10700005
SUB,10704043,FOTOGRAMETRIA,10700005
SUB,10704051,CARTOGRAFIA BÁSICA,10700005
SUB,10705007,GEOGRAFIA FÍSICA,10700005
SUB,10705015,GEOMORFOLOGIA,10700005
SUB,10705023,CLIMATOLOGIA GEOGRÁFICA,10700005
SUB,10705031,PEDOLOGIA,10700005
SUB,10705040,HIDROGEOGRAFIA,10700005
SUB,10705058,GEOECOLOGIA,10700005
SUB,10705066,FOTOGEOGRAFIA (FÍSICO-ECOLÓGICA),10700005
SUB,10705074,GEOCARTOGRAFIA,10700005
SUB,10802002,OCEANOGRAFIA FÍSICA,10700005
SUB,10802010,VARIÁVEIS FÍSICAS DA ÁGUA DO MAR,10700005
SUB,10802029,MOVIMENTO DA ÁGUA DO MAR,10700005
SUB,10802037,ORIGEM DAS MASSAS DE ÁGUA,10700005
SUB,10802045,INTERAÇÃO DO OCEANO COM O LEITO DO MAR,10700005
SUB,10802053,INTERAÇÃO DO OCEANO COM A ATMOSFERA,10700005
SUB,10803009,OCEANOGRAFIA QUÍMICA,10700005
SUB,10803017,PROPRIEDADES QUÍMICAS DA ÁGUA DO MAR,10700005
SUB,10803025,INTER.QUÍM.-BIOL./GEOL.DAS SUBST. QUIM.DA ÁGUA DO MAR,10700005
SUB,10804005,OCEANOGRAFIA GEOLÓGICA,10700005
SUB,10804013,GEOMORFOLOGIA SUBMARINA,10700005
SUB,10804021,SEDIMENTOLOGIA MARINHA,10700005
SUB,10804030,GEOFÍSICA MARINHA,10700005
SUB,10804048,GEOQUÍMICA MARINHA,10700005
MACRO,20000006,CIÊNCIAS BIOLÓGICAS,
AREA,20100000,BIOLOGIA GERAL,20000006
AREA,20200005,GENÉTICA,20000006
SUB,20201001,GENÉTICA QUANTITATIVA,20200005
SUB,20202008,GENÉTICA MOLECULAR E DE MICROORGANISMOS,20200005
SUB,20203004,GENÉTICA VEGETAL,20200005
SUB,20204000,GENÉTICA ANIMAL,20200005
SUB,20205007,GENÉTICA HUMANA E MÉDICA,20200005
SUB,20206003,MUTAGENESE,20200005
AREA,20600003,MORFOLOGIA,20000006
SUB,20601000,CITOLOGIA E BIOLOGIA CELULAR,20600003
SUB,20602006,EMBRIOLOGIA,20600003
SUB,20603002,HISTOLOGIA,20600003
SUB,20604009,ANATOMIA,20600003
SUB,20604017,ANATOMIA HUMANA,20600003
SUB,20604025,ANATOMIA ANIMAL,20600003
AREA,20700008,FISIOLOGIA,20000006
SUB,20701004,FISIOLOGIA GERAL,20700008
SUB,20702000,FISIOLOGIA DOS ÓRGÃOS E SISTEMAS,20700008
SUB,20702019,NEUROFISIOLOGIA,20700008
SUB,20702027,FISIOLOGIA CARDIOVASCULAR,20700008
SUB,20702035,FISIOLOGIA DA RESPIRAÇÃO,20700008
SUB,20702043,FISIOLOGIA RENAL,20700008
SUB,20702051,FISIOLOGIA ENDÓCRINA,20700008
SUB,20702060,FISIOLOGIA DA DIGESTÃO,20700008
SUB,20702078,CINESIOLOGIA,20700008
SUB,20703007,FISIOLOGIA DO ESFORÇO,20700008
SUB,20704003,FISIOLOGIA COMPARADA,20700008
AREA,20800002,BIOQUÍMICA,20000006
SUB,20801009,QUÍMICA DE MACROMOLÉCULAS,20800002
SUB,20801017,PROTEÍNAS,20800002
SUB,20801025,LIPÍDEOS,20800002
SUB,20801033,GLICÍDEOS,20800002
SUB,20802005,BIOQUÍMICA DOS MICROORGANISMOS,20800002
SUB,20803001,METABOLISMO E BIOENERGÉTICA,20800002
SUB,20804008,BIOLOGIA MOLECULAR,20800002
SUB,20805004,ENZIMOLOGIA,20800002
AREA,20900007,BIOFÍSICA,20000006
SUB,20901003,BIOFÍSICA MOLECULAR,20900007
SUB,20902000,BIOFÍSICA CELULAR,20900007
SUB,20903006,BIOFÍSICA DE PROCESSOS E SISTEMAS,20900007
SUB,20904002,RADIOLOGIA E FOTOBIOLOGIA,20900007
AREA,21000000,FARMACOLOGIA,20000006
SUB,21001006,FARMACOLOGIA GERAL,21000000
SUB,21001014,FARMACOCINÉTICA,21000000
SUB,21001022,BIODISPONIBILIDADE,21000000
SUB,21002002,FARMACOLOGIA AUTONÔMICA,21000000
SUB,21003009,NEUROPSICOFARMACOLOGIA,21000000
SUB,21004005,FARMACOLOGIA CARDIORENAL,21000000
SUB,21005001,FARMACOLOGIA BIOQUIMICA E MOLECULAR,21000000
SUB,21006008,ETNOFARMACOLOGIA,21000000
SUB,21007004,TOXICOLOGIA,21000000
SUB,21008000,FARMACOLOGIA CLÍNICA,21000000
AREA,21100004,IMUNOLOGIA,20000006
SUB,21101000,IMUNOQUÍMICA,21100004
SUB,21102007,IMUNOLOGIA CELULAR,21100004
SUB,21103003,IMUNOGENÉTICA,21100004
SUB,21104000,IMUNOLOGIA APLICADA,21100004
AREA,21200009,MICROBIOLOGIA,20000006
SUB,21201005,BIOLOGIA E FISIOLOGIA DOS MICROORGANISMOS,21200009
SUB,21201013,VIROLOGIA,21200009
SUB,21201021,BACTERIOLOGIA,21200009
SUB,21201030,MICOLOGIA,21200009
SUB,21202001,MICROBIOLOGIA APLICADA,21200009
SUB,21202010,MICROBIOLOGIA MÉDICA,21200009
SUB,21202028,MICROBIOLOGIA INDUSTRIAL E DE FERMENTAÇÃO,21200009
AREA,21300003,PARASITOLOGIA,20000006
SUB,21301000,PROTOZOOLOGIA DE PARASITOS,21300003
SUB,21301018,PROTOZOOLOGIA PARASITÁRIA HUMANA,21300003
SUB,21301026,PROTOZOOLOGIA PARASITÁRIA ANIMAL,21300003
SUB,21302006,HELMINTOLOGIA DE PARASITOS,21300003
SUB,21302014,HELMINTOLOGIA HUMANA,21300003
SUB,21302022,HELMINTOLOGIA ANIMAL,21300003
SUB,21303002,ENTOMOLOGIA E MALACOLOGIA DE PARASITOS E VETORES,21300003
AREA,20500009,ECOLOGIA,20000006
SUB,20501005,ECOLOGIA TEÓRICA,20500009
SUB,20502001,ECOLOGIA DE ECOSSISTEMAS,20500009
SUB,20503008,ECOLOGIA APLICADA,20500009
AREA,10800000,OCEANOGRAFIA,20000006
SUB,10801006,OCEANOGRAFIA BIOLÓGICA,10800000
SUB,10801014,INTER.ENTRE OS ORGAN.MARINHOS E OS PARÂMETROS AMBIENTAIS,10800000
AREA,20300000,BOTÂNICA,20000006
SUB,20301006,PALEOBOTÂNICA,20300000
SUB,20302002,MORFOLOGIA VEGETAL,20300000
SUB,20302010,MORFOLOGIA EXTERNA,20300000
SUB,20302029,CITOLOGIA VEGETAL,20300000
SUB,20302037,ANATOMIA VEGETAL,20300000
SUB,20302045,PALINOLOGIA,20300000
SUB,20303009,FISIOLOGIA VEGETAL,20300000
SUB,20303017,NUTRIÇÃO E CRESCIMENTO VEGETAL,20300000
SUB,20303025,REPRODUÇÃO VEGETAL,20300000
SUB,20303033,ECOFISIOLOGIA VEGETAL,20300000
SUB,20304005,TAXONOMIA VEGETAL,20300000
SUB,20304013,TAXONOMIA DE CRIPTÓGAMOS,20300000
SUB,20304021,TAXONOMIA DE FANEROGAMOS,20300000
SUB,20305001,FITOGEOGRAFIA,20300000
SUB,20306008,BOTÂNICA APLICADA,20300000
AREA,20400004,ZOOLOGIA,20000006
SUB,20401000,PALEOZOOLOGIA,20400004
SUB,20402007,MORFOLOGIA DOS GRUPOS RECENTES,20400004
SUB,20403003,FISIOLOGIA DOS GRUPOS RECENTES,20400004
SUB,20404000,COMPORTAMENTO ANIMAL,20400004
SUB,20405006,TAXONOMIA DOS GRUPOS RECENTES,20400004
SUB,20406002,ZOOLOGIA APLICADA,20400004
SUB,20406010,CONSERVAÇÃO DAS ESPÉCIES ANIMAIS,20400004
SUB,20406029,UTILIZAÇÃO DOS ANIMAIS,20400004
SUB,20406037,CONTROLE POPULACIONAL DE ANIMAIS,20400004
MACRO,30000009,ENGENHARIAS,
AREA,30100003,ENGENHARIA CIVIL,30000009
SUB,30101000,CONSTRUÇÃO CIVIL,30100003
SUB,30101018,MATERIAIS E COMPONENTES DE CONSTRUÇÃO,30100003
SUB,30101026,PROCESSOS CONSTRUTIVOS,30100003
SUB,30101034,INSTALAÇÕES PREDIAIS,30100003
SUB,30102006,ESTRUTURAS,30100003
SUB,30102014,ESTRUTURAS DE CONCRETO,30100003
SUB,30102022,ESTRUTURAS DE MADEIRAS,30100003
SUB,30102030,ESTRUTURAS METÁLICAS,30100003
SUB,30102049,MECÂNICA DAS ESTRUTURAS,30100003
SUB,30103002,GEOTÉCNICA,30100003
SUB,30103010,FUNDAÇÕES E ESCAVAÇÕES,30100003
SUB,30103029,MECÂNICAS DAS ROCHAS,30100003
SUB,30103037,MECÂNICA DOS SOLOS,30100003
SUB,30103045,OBRAS DE TERRA E ENROCAMENTO,30100003
SUB,30103053,PAVIMENTOS,30100003
SUB,30104009,ENGENHARIA HIDRÁULICA,30100003
SUB,30104017,HIDRÁULICA,30100003
SUB,30104025,HIDROLOGIA,30100003
SUB,30105005,INFRA-ESTRUTURA DE TRANSPORTES,30100003
SUB,30105013,AEROPORTOS; PROJETO E CONSTRUÇÃO,30100003
SUB,30105021,FERROVIAS; PROJETOS E CONSTRUÇÃO,30100003
SUB,30105030,PORTOS E VIAS NAVEGÁVEIS; PROJETO E CONSTRUÇÃO,30100003
SUB,30105048,RODOVIAS; PROJETO E CONSTRUÇÃO,30100003
AREA,30700000,ENGENHARIA SANITÁRIA,30000009
SUB,30701007,RECURSOS HÍDRICOS,30700000
SUB,30701015,PLANEJAMENTO INTEGRADO DOS RECURSOS HÍDRICOS,30700000
SUB,30701023,TECNOLOGIA E PROBLEMAS SANITÁRIOS DE IRRIGAÇÃO,30700000
SUB,30701031,ÁGUAS SUBTERRÂNEAS E POÇOS PROFUNDOS,30700000
SUB,30701040,CONTROLE DE ENCHENTES E DE BARRAGENS,30700000
SUB,30701058,SEDIMENTOLOGIA,30700000
SUB,30702003,TRATAMENTO DE ÁGUAS DE ABASTECIMENTO E RESIDUÁRIAS,30700000
